"address";"volume";"share_volume";"trades";"pnl";"pnl_percentage";"pbt_user_can_claim"
"0xae50d6935c736696a99c309a4dcabe1343b20354";"340023";"3888644";"3298";"59047";"0.395278613952229850000000000000";"347386.602192478539853500"
"0x6d0e5a6dd3f4054176be308d850ef3b608aec693";"211656";"1186726";"326";"58891";"0.394234302407586600000000000000";"346471.461542792213446000"
"0x58eb79f5c7d7e5d9d89c9f1b5773baeaa5aa7cde";"549040";"1840422";"5503";"58625";"0.392453617337874500000000000000";"344911.029409352803095000"
"0x3a8a5d1462103e5e003d9b8794188ac3cc2113ec";"59477";"216182";"97";"58603";"0.392306342632860700000000000000";"344781.971112602160017000"
"0x49606ae1af29fc0448f506c7ece6211b3645ef1a";"59929";"118403";"4";"58474";"0.391442777317098030000000000000";"344025.220190746174669300"
"0xf8fd285d1a3027562bdd961cf5bc86557e880992";"34423";"141399";"1077";"58121";"0.389079687732104100000000000000";"341954.421156520143871000"
"0x2132bb601b23931cf6cf3c2510b9ecea28c7313b";"552490";"618155";"25";"58088";"0.388858775674583430000000000000";"341760.833711394205543300"
"0xc6d90d9aac28ee450b38c238fa174b0074aadf6d";"170209";"310063";"53";"57392";"0.384199539552329100000000000000";"337677.898505101513621000"
"0x807a2d05e30d6bfb643a415437d4938c7d3e1d70";"1022949";"4549915";"5179";"55285";"0.370094639394872360000000000000";"325317.633448120597791600"
"0x9742208a25ecc2e7e8aa545cb19b31ec97ac9163";"199098";"2008580";"619";"54458";"0.364558449347308630000000000000";"320466.214747540025555300"
"0xfefaf44054fb92d87882f2bd24bddbd163487bed";"276257";"4504050";"805";"54144";"0.362456437648475500000000000000";"318624.200875735565405000"
"0xe8833626ed8f134824ff9ad22b7967c9ec1a2c4a";"538859";"2699175";"15606";"53083";"0.355353780283947000000000000000";"312400.071200625595570000"
"0x93f8e122b8ea9539e49ee68125c6f7f4e22f7dc0";"199728";"257432";"15";"53041";"0.355072619483466100000000000000";"312153.687179556178091000"
"0x69e7ad68b5f11e97927e4bd938baf7dfb60bd3b0";"667280";"2207097";"2431";"52072";"0.348585838158086140000000000000";"306469.255836312465343400"
"0xc815811e757f3f7ea21252a38a729a7c56d8ca37";"947419";"1049526";"140";"52021";"0.348244428614645100000000000000";"306170.075239299647581000"
"0x1e098a7a17517b8e936517d071f830b13f282a23";"798873";"861343";"90";"51900";"0.347434417737069300000000000000";"305460.254607171198283000"
"0xe834edad3c89e41243c796d37f262541d65f6da5";"451511";"1715381";"1290";"50448";"0.337714287206159370000000000000";"296942.407021629517524700"
"0x7430669ff298f8dc78e3339448d4994e812d111f";"39637";"256770";"279";"49311";"0.330102862678855900000000000000";"290272.439594108213729000"
"0x4c0340f93e3c590118fc6e35215d51ce7dc80cc1";"247746";"2068440";"5280";"49026";"0.328194985818450100000000000000";"288600.548022566007131000"
"0x7dd78758753291a4cededcb41c37b5505e36b0b8";"678920";"726263";"3";"47343";"0.316928470884895400000000000000";"278727.588321142687974000"
"0x7ca5e8e735d1714104a534c9f39e2a29ab116139";"408709";"2172131";"2247";"46443";"0.310903596588876840000000000000";"273447.930726798663660400"
"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0";"200684";"821098";"1322";"45647";"0.305574929989287100000000000000";"268778.366898912178601000"
"0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002";"474828";"2714681";"3002";"45405";"0.303954908234135460000000000000";"267358.725634655244952600"
"0xc94171dab78729079b3eb6e14ad33ea60ab80a0b";"146478";"2354135";"1180";"45020";"0.301377600896394200000000000000";"265100.205441519201402000"
"0xd5530fd2cc6306af289398498213de194fc4e555";"108146";"355757";"35";"44233";"0.296109183039764630000000000000";"260483.438189576142915300"
